# Species,Genes,Zhunt_mean,Zhunt_max,Zhunt_count,func
27,27,15267.59,198956.2,32,MotA/TolQ/ExbB proton channel family protein 
50,50,3028.74,38833.58,32,leucine--tRNA ligase 
26,35,6137.98,99932.3,33,arginase 
50,50,3818.68,28780.5,22,DNA polymerase III subunit delta 
49,49,7182.61,138924.1,40,glutamate-5-semialdehyde dehydrogenase 
43,43,4817.48,28780.5,17,glutamate--cysteine ligase 
43,51,3119.66,13713.99,13,potassium transporter Kup 
27,28,2771.51,20163.5,25,3-hydroxybutyryl-CoA dehydrogenase 
37,42,1859.6,7298.78,22,MarR family transcriptional regulator 
36,36,3832.44,38833.58,23,organic hydroperoxide resistance protein 
34,34,4674.69,38833.58,21,serine/threonine protein kinase 
42,42,57756.2,302785.5,13,molecular chaperone HtpG 
34,34,3066.34,13713.99,25,rhodanese-like domain-containing protein 
35,40,5822.44,68804.91,30,Zn-dependent hydrolase 
27,31,5239.21,68804.91,33,NAD(P)-dependent alcohol dehydrogenase 
25,33,13036.1,138924.1,32,MFS transporter 
45,63,5360.01,19660.01,32,alkene reductase 
26,29,16737.33,302785.5,32,LysE family translocator 
29,39,3820.75,16271.57,30,helix-turn-helix domain-containing protein 
27,33,3959.24,23787.35,15,integrase arm-type DNA-binding domain-containing protein 
45,45,1375.18,3174.8,13,response regulator 
49,49,1819.4,13713.99,32,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB 
50,50,1412.05,4545.7,6,DNA-directed RNA polymerase subunit beta' 
50,50,6471.9,48804.94,9,DNA-directed RNA polymerase subunit beta 
50,50,4009.22,29467.88,11,50S ribosomal protein L7/L12 
47,47,2595.67,8922.65,16,50S ribosomal protein L10 
50,50,2450.8,16770.32,30,50S ribosomal protein L1 
48,48,1773.33,3428.53,18,MULTISPECIES: 50S ribosomal protein L11 
50,50,1544.06,4545.7,5,preprotein translocase subunit SecE 
50,50,10372.16,138924.1,30,indole-3-glycerol phosphate synthase TrpC 
25,34,9139.9,109789.83,32,MurR/RpiR family transcriptional regulator 
50,50,7542.39,74987.35,21,anthranilate phosphoribosyltransferase 
50,50,5244.42,13713.99,39,aminodeoxychorismate/anthranilate synthase component II 
49,49,9640.02,138924.1,28,anthranilate synthase component I 
45,45,1369.7,8485.76,22,acyl-CoA thioesterase 
42,42,1986.51,8485.76,20,ABC transporter ATP-binding protein/permease 
36,46,6533.34,70933.78,23,2-hydroxyacid dehydrogenase 
34,34,10170.45,138924.1,21,LysR substrate-binding domain-containing protein 
33,35,2573.33,13713.99,10,amino acid ABC transporter permease 
33,36,34786.25,302785.5,22,amino acid ABC transporter permease 
50,50,4275.22,17718.99,42,dihydroorotase 
46,46,3182.98,18180.95,43,HIT family protein 
35,46,13624.99,302785.5,32,methylisocitrate lyase 
44,50,4366.29,37878.25,17,protease HtpX 
43,48,4256.11,49376.54,31,GNAT family N-acetyltransferase 
31,32,1765.78,4545.7,29,N-formylglutamate deformylase 
25,25,8296.42,38833.58,24,formimidoylglutamate deiminase 
31,32,6405.8,74987.35,31,HutD family protein 
27,31,2789.88,13713.99,29,histidine ammonia-lyase 
29,47,9798.27,138924.1,21,ABC transporter ATP-binding protein 
35,35,6027.4,66470.78,26,NAD(P)/FAD-dependent oxidoreductase 
48,48,2995.55,10894.72,23,primosomal protein N' 
50,50,3017.46,13713.99,40,uroporphyrinogen decarboxylase 
49,49,1176.58,8485.76,32,thiamine-phosphate kinase 
37,37,2586.45,28780.5,21,YbdK family carboxylate-amine ligase 
33,34,8586.09,66470.78,22,cation:proton antiporter 
33,35,15498.06,138924.1,26,site-specific recombinase 
48,48,2264.72,13713.99,20,Co2+/Mg2+ efflux protein ApaG 
49,49,10526.24,198956.2,23,ribulose-phosphate 3-epimerase 
37,40,10179.18,66470.78,32,Crp/Fnr family transcriptional regulator 
36,37,13154.7,198956.2,25,cyclopropane-fatty-acyl-phospholipid synthase family protein 
35,35,13297.49,198956.2,24,acyl-CoA-binding protein 
50,53,2353.48,4876.73,16,"dTDP-glucose 4,6-dehydratase "
46,47,5701.66,94590.41,25,dTDP-4-dehydrorhamnose reductase 
49,52,2958.41,13713.99,24,"dTDP-4-dehydrorhamnose 3,5-epimerase "
36,41,2677.46,11290.21,26,glycosyltransferase 
50,50,2567.17,18180.95,18,acetylglutamate kinase 
38,38,7742.3,49376.54,23,nucleoid occlusion factor SlmA 
39,43,9597.45,37878.25,15,fumarylacetoacetate hydrolase family protein 
35,35,5718.04,65884.11,18,TetR/AcrR family transcriptional regulator 
37,37,2197.8,6680.69,19,acyl-CoA dehydrogenase C-terminal domain-containing protein 
39,39,6052.07,138924.1,35,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein 
40,40,4723.64,38833.58,33,acetyl-CoA C-acyltransferase 
37,37,5657.44,38833.58,27,enoyl-CoA hydratase 
33,39,3092.09,29467.88,34,catalase 
43,43,4959.81,28780.5,32,phosphoglycolate phosphatase 
26,26,4246.66,17253.57,34,precorrin-4 C(11)-methyltransferase 
26,26,19325.97,211093.9,36,precorrin-2 C(20)-methyltransferase 
27,27,19118.09,211093.9,33,SDR family oxidoreductase 
33,33,13536.81,211093.9,29,aldehyde dehydrogenase family protein 
28,28,22401.81,211093.9,29,Lrp/AsnC family transcriptional regulator 
32,33,11623.86,211093.9,29,ferritin-like domain-containing protein 
30,31,7044.9,65884.11,26,zinc-binding alcohol dehydrogenase family protein 
26,32,5952.19,32787.63,31,LysR family transcriptional regulator 
41,48,4146.82,28780.5,28,PhzF family phenazine biosynthesis protein 
36,36,6946.82,74987.35,29,PLP-dependent aminotransferase family protein 
38,44,2050.39,21732.38,22,LysE family translocator 
40,42,3161.67,13713.99,35,PLP-dependent aminotransferase family protein 
36,36,1794.74,13713.99,18,flagellar hook-associated protein FlgL 
36,36,11542.08,211093.9,25,flagellar hook-associated protein FlgK 
35,35,3264.43,38833.58,37,flagellar assembly peptidoglycan hydrolase FlgJ 
38,38,2560.48,13713.99,38,flagellar basal body L-ring protein FlgH 
38,38,10484.98,138924.1,18,flagellar basal-body rod protein FlgG 
38,38,2513.74,13713.99,24,flagellar basal-body rod protein FlgF 
38,38,1613.82,13713.99,18,flagellar hook assembly protein FlgD 
38,38,3763.54,27872.66,25,flagellar basal body rod protein FlgC 
38,38,2897.17,13713.99,35,flagellar basal body rod protein FlgB 
36,36,4349.58,27872.66,22,flagellar biosynthesis anti-sigma factor FlgM 
38,38,4140.54,13713.99,26,RNA polymerase sigma factor FliA 
38,38,2774.76,13713.99,27,flagellar biosynthesis protein FlhA 
38,38,2126.87,17253.57,41,flagellar type III secretion system protein FlhB 
36,47,2947.2,13713.99,29,protein phosphatase CheZ 
36,36,1915.56,13713.99,23,MULTISPECIES: chemotaxis response regulator CheY 
37,37,3776.47,27872.66,30,flagellar motor protein MotB 
36,41,4272.67,69714.99,26,flagellar motor stator protein MotA 
33,40,12820.3,76319.04,14,flagellar filament capping protein FliD 
36,41,3493.74,13713.99,27,flagellar protein FliT 
38,38,4243.97,38833.58,30,flagellar hook-basal body complex protein FliE 
38,38,9835.05,138924.1,30,flagellar motor switch protein FliG 
37,37,2884.97,13713.99,32,flagellar assembly protein FliH 
36,36,3265.14,28780.5,32,flagellar export protein FliJ 
37,37,2073.04,13713.99,20,flagellar basal body-associated protein FliL 
38,38,1865.62,13713.99,14,flagellar motor switch protein FliM 
38,38,1585.22,13713.99,25,flagellar motor switch protein FliN 
38,39,1958.36,13713.99,11,flagellar biosynthesis protein FliQ 
38,38,2057.26,13713.99,28,flagellar biosynthetic protein FliR 
33,33,14327.51,211093.9,28,response regulator transcription factor 
36,36,1941.77,13713.99,20,response regulator 
33,33,1592.03,10616.46,20,chemotaxis protein CheA 
33,42,2003.76,13713.99,20,chemotaxis protein CheW 
36,36,3978.07,38833.58,39,chemotaxis protein CheR 
49,49,1919.54,4876.73,20,ATP-binding cassette domain-containing protein 
50,50,1070.93,3993.32,18,MULTISPECIES: 50S ribosomal protein L13 
50,50,1876.28,8922.65,25,MULTISPECIES: 30S ribosomal protein S9 
50,50,4837.8,13713.99,7,MULTISPECIES: iron-sulfur cluster insertion protein ErpA 
33,43,4541.97,13713.99,17,multidrug transporter subunit MdtD 
50,50,13078.92,211093.9,25,anhydro-N-acetylmuramic acid kinase 
50,50,2229.19,13713.99,14,tyrosine--tRNA ligase 
33,37,3066.01,18247.98,27,cation diffusion facilitator family transporter 
39,39,6674.2,68804.91,37,D-aminoacyl-tRNA deacylase 
49,49,6334.57,74987.35,21,Holliday junction branch migration protein RuvA 
47,47,3490.27,28780.5,34,aminodeoxychorismate synthase component I 
46,47,2942.71,21732.38,26,3-methyl-2-oxobutanoate hydroxymethyltransferase 
50,50,4791.29,13713.99,39,Holliday junction branch migration DNA helicase RuvB 
27,36,4113.27,13713.99,31,MlaD family protein 
49,49,40153.8,198956.2,30,tRNA 2-thiocytidine(32) synthetase TtcA 
39,40,4292.62,38833.58,30,SDR family oxidoreductase 
34,34,4139.81,38833.58,27,DUF2905 domain-containing protein 
29,35,2739.4,16739.64,24,H-NS histone family protein 
27,37,2491.85,19903.88,23,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) "
33,37,3275.39,27872.66,30,multidrug efflux RND transporter permease subunit 
31,35,3526.19,13713.99,27,efflux RND transporter periplasmic adaptor subunit 
50,53,1252.9,4876.73,28,4-hydroxythreonine-4-phosphate dehydrogenase PdxA 
38,42,2671.29,29467.88,26,chromate transporter 
36,41,2688.52,28725.98,29,chromate transporter 
34,37,1732.41,8323.26,26,hypothetical protein 
34,39,9456.88,138924.1,36,RNA polymerase sigma factor 
25,32,15692.11,302785.5,37,anti-sigma factor 
44,54,4495.97,33383.84,27,chromate efflux transporter 
32,37,18056.71,302785.5,28,DUF1993 domain-containing protein 
40,40,3788.1,38833.58,37,glutamate--cysteine ligase 
50,50,3609.59,27872.66,22,glutamine--tRNA ligase/YqeY domain fusion protein 
45,46,3485.34,29467.88,29,fluoride efflux transporter CrcB 
49,49,3762.23,10894.72,48,"glutamate-1-semialdehyde 2,1-aminomutase "
37,37,2849.93,10894.72,23,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 
42,43,2641.06,10894.72,23,MULTISPECIES: rubredoxin 
37,37,4422.84,13713.99,37,5'-nucleotidase 
26,28,5390.08,28780.5,32,amino acid permease 
28,28,12063.8,138924.1,39,type II secretion system major pseudopilin GspG 
35,35,10257.2,198956.2,36,histidine phosphatase family protein 
35,35,3215.22,27872.66,35,adenosylcobinamide-GDP ribazoletransferase 
47,52,16792.73,138924.1,30,"threonine ammonia-lyase, biosynthetic "
49,49,2193.91,13713.99,27,OsmC family protein 
43,43,2904.26,13713.99,26,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase "
31,47,8894.58,211093.9,33,ABC transporter ATP-binding protein 
38,38,4330.48,28780.5,28,SIS domain-containing protein 
38,49,12228.22,138924.1,26,glucose-6-phosphate dehydrogenase 
42,42,31688.53,198956.2,21,transaldolase 
46,52,2249.73,9721.92,30,glucose-6-phosphate isomerase 
36,38,3856.06,28780.5,20,YeeE/YedE family protein 
35,38,2742.33,13713.99,27,metalloregulator ArsR/SmtB family transcription factor 
36,42,3253.57,27872.66,23,MBL fold metallo-hydrolase 
50,50,10346.41,74987.35,38,chaperonin GroEL 
50,57,2273.9,4545.7,6,co-chaperone GroES 
25,25,13291.38,211093.9,20,LacI family DNA-binding transcriptional regulator 
25,26,4456.42,28780.5,19,ABC transporter substrate-binding protein 
33,39,1926.09,8156.9,22,nitronate monooxygenase 
38,40,4073.11,28780.5,32,maleylacetoacetate isomerase 
49,49,14955.13,211093.9,38,peptidoglycan editing factor PgeF 
43,43,43401.47,211093.9,15,class I poly(R)-hydroxyalkanoic acid synthase 
41,44,2922.14,13939.35,19,3-ketoacyl-ACP reductase 
35,43,6480.28,138924.1,34,cytochrome c 
27,29,2411.43,13713.99,31,c-type cytochrome 
32,32,16690.98,302785.5,34,efflux transporter outer membrane subunit 
33,39,32274.18,302785.5,24,efflux RND transporter permease subunit 
39,48,12516.11,151769.05,27,efflux RND transporter periplasmic adaptor subunit 
49,49,3793.84,27872.66,41,multifunctional CCA addition/repair protein 
41,44,5929.22,68804.91,35,glutathione S-transferase family protein 
42,47,1948.89,13713.99,38,complex I NDUFA9 subunit family protein 
50,52,4363.37,46858.52,26,pantoate--beta-alanine ligase 
49,49,4559.64,38833.58,23,lytic transglycosylase domain-containing protein 
32,36,3896.23,38833.58,22,ABC transporter ATP-binding protein/permease 
45,45,3253.48,13713.99,32,MULTISPECIES: cell division topological specificity factor MinE 
50,50,6601.39,74987.35,20,YqgE/AlgH family protein 
50,50,15453.03,302785.5,23,Holliday junction resolvase RuvX 
33,33,8857.28,68804.91,29,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR 
50,62,2403.97,23209.19,36,aspartate carbamoyltransferase catalytic subunit 
36,36,1606.69,3428.53,19,dihydroorotase 
50,53,3842.09,13713.99,33,1-acyl-sn-glycerol-3-phosphate acyltransferase 
30,39,7536.88,38833.58,33,LysR family transcriptional regulator 
30,30,6363.26,38833.58,30,cation acetate symporter 
43,44,2084.63,6420.01,21,MHS family MFS transporter 
35,35,2709.2,18247.98,29,MBL fold metallo-hydrolase 
49,50,2066.21,6565.99,5,large conductance mechanosensitive channel protein MscL 
49,51,1633.48,3428.53,7,ubiquinol-cytochrome c reductase iron-sulfur subunit 
49,50,1748.96,4831.42,15,cytochrome bc complex cytochrome b subunit 
46,46,5465.14,27872.66,13,preprotein translocase subunit SecA 
49,49,2176.28,12351.13,30,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ 
49,49,3122.87,13713.99,35,ATP-binding protein 
47,47,6809.12,37878.25,32,NUDIX domain-containing protein 
40,40,2511.91,8485.76,16,DNA gyrase inhibitor YacG 
47,47,3370.53,28780.5,31,cell division protein ZapD 
50,50,4150.3,48804.94,17,dephospho-CoA kinase 
45,47,4478.33,48804.94,15,A24 family peptidase 
42,42,11779.59,198956.2,31,type II secretion system F family protein 
44,44,5338.25,49376.54,30,type IV-A pilus assembly ATPase PilB 
49,49,3437.37,12351.13,12,RluA family pseudouridine synthase 
48,48,2410.57,13713.99,19,Rne/Rng family ribonuclease 
41,41,1404.74,6565.99,32,heme biosynthesis protein HemY 
50,50,13707.6,302785.5,35,hydroxymethylbilane synthase 
40,41,4889.81,38833.58,25,phosphoenolpyruvate carboxylase 
41,51,3020.83,13713.99,30,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase 
48,48,9823.89,138924.1,21,HAD-IA family hydrolase 
34,34,4675.1,46858.52,30,Rieske 2Fe-2S domain-containing protein 
44,44,6563.65,38833.58,23,S49 family peptidase 
49,49,2895.01,38833.58,29,Maf family nucleotide pyrophosphatase 
50,50,1728.72,4545.7,28,YceD family protein 
43,43,2003.63,9852.15,19,phosphate acyltransferase PlsX 
50,50,2290.27,13713.99,23,ketoacyl-ACP synthase III 
50,50,4900.68,38833.58,23,ACP S-malonyltransferase 
50,50,1634.03,10894.72,38,3-oxoacyl-ACP reductase FabG 
50,50,7929.54,138924.1,25,MULTISPECIES: acyl carrier protein 
50,50,1436.66,2943.46,17,beta-ketoacyl-ACP synthase II 
29,29,2370.99,28780.5,27,sigma-E factor negative regulatory protein 
30,30,2817.36,8636.41,20,MucB/RseB C-terminal domain-containing protein 
45,45,2126.19,7973.08,18,DegQ family serine endoprotease 
50,50,3305.01,28780.5,16,translation elongation factor 4 
49,49,1178.59,3428.53,10,signal peptidase I 
50,50,17404.16,198956.2,29,DNA repair protein RecO 
50,50,8763.67,138924.1,44,pyridoxine 5'-phosphate synthase 
49,49,2672.0,13713.99,34,holo-ACP synthase 
44,44,2989.27,29467.88,26,beta-N-acetylhexosaminidase 
50,50,3387.49,13713.99,28,lysine--tRNA ligase 
27,30,3201.09,13713.99,24,sugar transferase 
29,29,3347.16,13713.99,23,polysaccharide biosynthesis protein 
46,46,5980.62,65884.11,32,YggT family protein 
50,50,3194.48,16739.64,24,"acetyl-CoA carboxylase, carboxyltransferase subunit beta "
50,50,5033.2,49376.54,19,tryptophan synthase subunit alpha 
50,50,5428.34,28780.5,33,tryptophan synthase subunit beta 
50,50,46202.93,941334.2,21,tRNA pseudouridine(38-40) synthase TruA 
50,50,1965.91,13713.99,22,aspartate-semialdehyde dehydrogenase 
50,51,6180.99,38833.58,29,3-isopropylmalate dehydrogenase 
50,50,3894.67,38833.58,22,3-isopropylmalate dehydratase small subunit 
49,49,2406.11,13713.99,21,3-isopropylmalate dehydratase large subunit 
49,55,2536.76,9168.95,22,citrate synthase 
43,43,18498.18,138924.1,27,succinate dehydrogenase assembly factor 2 
